wikidata_id,xeno_canto_id
Q1305035,Bubalornis-albirostris
Q1301012,Psarocolius-viridis
Q918395,Incaspiza-personata
Q1277254,Amaurornis-olivieri
Q264640,Colaptes-rubiginosus
Q12264799,Nesoenas-rodericanus
Q26698,Prunella-modularis
Q1052008,Ceyx-erithaca
Q73865,Malacocincla-sepiaria
Q499568,Aquila-adalberti
Q1263634,Oreotrochilus-leucopleurus
Q18599584,Sinosuthora-brunnea
Q839914,Hedydipna-collaris
Q1265197,Accipiter-albogularis
Q3180327,Cinnyris-reichenowi
Q590200,Dicaeum-cruentatum
Q18560082,Polioptila-attenboroughi
Q27074699,Alopecoenas-jobiensis
Q2225023,Hylorchilus-sumichrasti
Q860375,Pterodroma-axillaris
Q171655,Otis-tarda
Q477133,Coracias-benghalensis
Q1266981,Ramphotrigon-megacephalum
Q592571,Procnias-albus
Q1591879,Pachycephala-jacquinoti
Q81515,Bubo-virginianus
Q604473,Eumyias-panayensis
Q582282,Cryptospiza-jacksoni
Q588651,Caryothraustes-poliogaster
Q756868,Leucopsar-rothschildi
Q2669182,Phylloscopus-borealoides
Q1070285,Ploceus-cucullatus
Q71118,Leptosomus-discolor
Q27074706,Alopecoenas-xanthonurus
Q1311967,Ploceus-insignis
Q1311233,Ploceus-badius
Q1069567,Henicopernis-infuscatus
Q27075433,Phyllastrephus-scandens
Q730464,Anisognathus-somptuosus
Q18841,Limosa-limosa
Q3066642,Zoothera-major
Q1274371,Asthenes-moreirae
Q1101389,Ruwenzorornis-johnstoni
Q1261427,Chaetura-cinereiventris
Q640376,Poicephalus-rueppellii
Q946537,Thamnophilus-bridgesi
Q1586520,Arremon%20aurantiirostris
Q303019,Chionis-minor
Q1591374,Cyornis-herioti
Q1273301,Mearnsia-novaeguineae
Q516398,Pulsatrix-melanota
Q1092096,Ptilinopus-mercierii
Q1272899,Sphyrapicus-thyroideus
Q208707,Anthus-spinoletta
Q600791,Buteogallus-meridionalis
Q944153,Anthus-nilghiriensis
Q604404,Carpococcyx-viridis
Q1304987,Malaconotus-lagdeni
Q756640,Phaethon-rubricauda
Q638242,Calyptorhynchus-banksii
Q379761,Balearica-pavonina
Q3726404,Melozone-leucotis
Q1270661,Scytalopus-parvirostris
Q512348,Platalea-alba
Q27075391,Melaniparus-thruppi
Q520983,Brotogeris-jugularis
Q902008,Carpodectes-nitidus
Q837198,Eurostopodus-argus
Q1265410,Anabacerthia-ruficaudata
Q74078,Zosterops-flavus
Q1302453,Conioptilon-mcilhennyi
Q73427,Myophonus-caeruleus
Q727989,Anaplectes-rubriceps
Q27075517,Alcippe-dubia
Q1273751,Rhinoptilus-africanus
Q3119565,Myiagra-galeata
Q559170,Pterodroma-ultima
Q26707571,Copsychus-pyrropygus
Q613301,Gymnomyza-viridis
Q630022,Acrocephalus-familiaris
Q10757971,Edolisoma-holopolium
Q859287,Scolopax-celebensis
Q27075667,Vauriella-insignis
Q1269639,Cinclodes-pabsti
Q1301134,Coryphaspiza-melanotis
Q1300214,Acanthiza-chrysorrhoa
Q675496,Oreostruthus-fuliginosus
Q1274182,Hypocnemis-flavescens
Q704987,Streptopelia-orientalis
Q753758,Eudyptes-robustus
Q3121382,Sporophila-plumbea
Q867965,Clibanornis-dendrocolaptoides
Q160488,Ardea-purpurea
Q1301053,Pomarea-fluxa
Q206535,Protonotaria-citrea
Q840179,Chaetops-aurantius
Q492684,Alectoris-graeca
Q1267260,Scytalopus-opacus
Q698551,Anairetes-parulus
Q900715,Rhodospiza-obsoleta
Q1037895,Yuhina-castaniceps
Q1317337,Batis-soror
Q564261,Ciridops-anna
Q26982,Galerida-cristata
Q2605727,Orthotomus-ruficeps
Q1274639,Dendrocopos-assimilis
Q2225944,Ficedula-speculigera
Q4818376,Bradypterus-seebohmi
Q726873,Anthus-hodgsoni
Q27075807,Crithagra-leucopygia
Q908909,Ninox-novaeseelandiae
Q73954,Myophonus-glaucinus
Q430958,Dubusia-taeniata
Q1261673,Harpactes-duvaucelii
Q2926374,Peucaea-botterii
Q62454902,Neosericornis-citreogularis
Q263815,Cursorius-rufus
Q1263655,Chaetocercus-astreans
Q855316,Clamator-levaillantii
Q1266599,Enicognathus-leptorhynchus
Q1272924,Myrmeciza-longipes
Q40639,Campylopterus-duidae
Q1302618,Euphonia-trinitatis
Q906574,Meliphaga-flavirictus
Q27075639,Melaenornis-microrhynchus
Q1267239,Fulica-armillata
Q384846,Macronyx-flavicollis
Q1259452,Caprimulgus-meesi
Q62079842,Pterorhinus-vassali
Q25669017,Apalis-flavigularis
Q589026,Spartonoica-maluroides
Q24992175,Locustella-seebohmi
Q268392,Polyplectron-malacense
Q2709265,Copsychus-stricklandii
Q4689743,Rhodopechys-alienus
Q18880,Leiothrix-argentauris
Q995756,Melierax-canorus
Q731159,Uraeginthus-cyanocephalus
Q1308391,Ploceus-temporalis
Q1267636,Laterallus-melanophaius
Q783076,Botaurus-poiciloptilus
Q521042,Spiziapteryx-circumcincta
Q862698,Lonchura-fuscans
Q26833614,Cacomantis-aeruginosus
Q907860,Tyrannopsis-sulphurea
Q192044,Rhea-americana
Q611324,Apus-affinis
Q998616,Manorina-melanocephala
Q27074990,Psittacara-brevipes
Q161829,Aptenodytes-forsteri
Q1588456,Hylophilus-semicinereus
Q114429,Accipiter-gundlachi
Q3726278,Prinia-atrogularis
Q3726998,Phylloscopus-ogilviegranti
Q367317,Vanellus-albiceps
Q62090203,Ianthocincla-bieti
Q1265368,Vini-ultramarina
Q114338,Accipiter-brevipes
Q833143,Pteroglossus-beauharnaesii
Q1004361,Thalassarche-bulleri
Q934861,Passerina-rositae
Q179625,Falco-vespertinus
Q1262679,Pterodroma-inexpectata
Q252741,Piranga-bidentata
Q55112000,Hafferia-zeledoni
Q2963857,Poospiza-torquata
Q16070723,Vireo-approximans
Q3119578,Myzomela-nigrita
Q1269567,Charmosyna-meeki
Q21968152,Buthraupis-aureodorsalis
Q1061885,Petroica-rosea
Q1036394,Pternistis-hildebrandti
Q728092,Agapornis-nigrigenis
Q268260,Erythropitta-granatina
Q1923171,Schistolais-leontica
Q1271337,Epinecrophylla-spodionota
Q828255,Ketupa-zeylonensis
Q286173,Hemispingus-trifasciatus
Q2861212,Amazilia-wagneri
Q1091303,Sterrhoptilus-dennistouni
Q2223781,Pseudobias-wardi
Q958901,Gallirallus-pacificus
Q942105,Macronyx-grimwoodi
Q1589261,Emberiza-yessoensis
Q110257498,Curruca-hortensis
Q16194276,Hemixos-cinereus
Q602835,Hemipus-hirundinaceus
Q5408131,Hypothymis-puella
Q1587789,Myrmecocichla-aethiops
Q1588561,Dacnis-flaviventer
Q606512,Haliastur-sphenurus
Q517694,Glaucidium-brodiei
Q852194,Buteo-hemilasius
Q1065472,Anthracothorax-prevostii
Q27075912,Setophaga-pitiayumi
Q3314376,Cyornis-sanfordi
Q737229,Phylloscartes-beckeri
Q1261490,Scytalopus-speluncae
Q942473,Xipholena-punicea
Q2109368,Drepanornis-bruijnii
Q1067556,Wetmorethraupis-sterrhopteron
Q1259671,Megapodius-freycinet
Q1585503,Acrocephalus-rehsei
Q632399,Phalacrocorax-nigrogularis
Q1262840,Ictinia-mississippiensis
Q1260416,Schoutedenapus-schoutedeni
Q1264806,Phacellodomus-striaticollis
Q1923463,Cisticola-troglodytes
Q59472,Microcarbo-coronatus
Q27075727,Coccopygia-melanotis
Q1301293,Aegithalos-fuliginosus
Q27075602,Lamprotornis-iris
Q744193,Tregellasia-capito
Q1260982,Gallirallus-torquatus
Q903066,Ramphomicron-microrhynchum
Q746632,Porphyrio-alleni
Q28482,Onychoprion-fuscatus
Q3729636,Cyanomitra-oritis
Q804145,Lanius-bucephalus
Q25114987,Leiothlypis-virginiae
Q3315529,Mimus-triurus
Q1263808,Geositta-isabellina
Q585670,Ptilonorhynchus-violaceus
Q934442,Primolius-couloni
Q1587866,Poecilodryas-superciliosa
Q384905,Thalurania-ridgwayi
Q1267686,Haematopus-finschi
Q1591099,Anthoscopus-caroli
Q760699,Plegadis-ridgwayi
Q26709651,Ptilinopus-ponapensis
Q955741,Lanius-tephronotus
Q767069,Cyanomitra-verticalis
Q647512,Fregata-magnificens
Q733485,Rhynchotus-rufescens
Q13173082,Porphyrio-poliocephalus
Q2225230,Odontorchilus-branickii
Q2645947,Oryzoborus-atrirostris
Q22285209,Todiramphus-sacer
Q12259252,Horornis-brunnescens
Q1263902,Pyrrhura-melanura
Q1061889,Serinus-canicollis
Q882943,Ptilinopus-hyogastrus
Q1260090,Certhiaxis-mustelinus
Q1302973,Euplectes-hartlaubi
Q1272150,Aphanotriccus-capitalis
